Transaction_ID,Timestamp,Customer_ID,Amount,Merchant_Category,Distance_from_Home,Device_Type,IP_Risk_Score,Avg_Spending_Habit,Is_Weekend,Is_Night_Transaction,Is_Fraud,Hour,DayOfWeek,Anomaly,Spending_Deviation,Risk_Score,Risk_Level
TRX-000001,2025-02-06 18:46:00,CUST-1727,1985.97,Luxury_Goods,0.0123,Android,0.89,94.75,0,0,1,18,3,1,19.75164490861619,70.27,High Risk
TRX-000002,2025-03-25 09:19:00,CUST-1607,30.45,Food_Dining,0.0123,Android,0.85,26.0,0,0,0,9,1,0,0.16481481481481478,8.5,Normal
TRX-000003,2025-02-17 17:05:00,CUST-1596,10.08,Transport,0.0123,Web_Browser,0.8,103.97,0,0,0,17,0,0,0.8944460321996761,44.96,Suspicious
TRX-000004,2025-01-13 08:26:00,CUST-1980,8.2,Food_Dining,0.0123,Android,0.42,92.27,0,0,0,8,0,0,0.9013616382545299,45.19,Suspicious
TRX-000005,2025-03-16 08:38:00,CUST-1235,181.07,Electronics,0.0123,Android,0.94,144.05,1,0,0,8,6,0,0.2552223371251291,13.04,Normal
TRX-000006,2025-03-12 13:32:00,CUST-1293,19.98,Online_Services,0.0123,Android,0.41,87.35,0,0,0,13,2,0,0.7625353706847764,38.25,Normal
TRX-000007,2025-03-31 04:55:00,CUST-1664,57.35,Groceries,0.0123,iOS,0.96,109.95,0,1,1,4,0,0,0.47408742676881477,23.99,Normal
TRX-000008,2025-03-28 07:29:00,CUST-1927,9.21,Transport,0.0123,Android,0.06,98.74,0,0,0,7,4,0,0.8976338480048126,44.9,Suspicious
TRX-000009,2025-03-20 04:07:00,CUST-1736,94.45,Groceries,0.0123,Android,0.59,144.82,0,1,0,4,3,0,0.3454258675078864,17.45,Normal
TRX-000010,2025-02-06 20:25:00,CUST-1441,27.19,Transport,0.0123,iOS,0.13,128.07,0,0,0,20,3,0,0.7815913845200279,39.12,Normal
TRX-000011,2025-03-10 12:39:00,CUST-1167,26.3,Transport,0.0123,iOS,0.89,71.56,0,0,0,12,0,0,0.6237596471885337,31.45,Normal
TRX-000012,2025-03-20 13:18:00,CUST-1117,10.14,Transport,0.0123,Android,0.56,74.98,0,0,0,13,3,0,0.8533824690708081,42.84,Suspicious
TRX-000013,2025-03-22 10:29:00,CUST-1172,73.07,Online_Services,0.0123,Android,0.6,85.06,1,0,0,10,5,0,0.13932140367185694,7.15,Normal
