Transaction_ID,Admin_Label
TRX-000001,Genuine Anomaly
TRX-000018,False Positive
TRX-000029,Genuine Anomaly
TRX-000043,Genuine Anomaly
TRX-000047,False Positive
TRX-000075,Genuine Anomaly
TRX-000085,False Positive
TRX-000087,Genuine Anomaly
TRX-000090,Genuine Anomaly
TRX-000095,False Positive
TRX-000001,Genuine Anomaly
TRX-000018,False Positive
TRX-000029,Genuine Anomaly
TRX-000043,Genuine Anomaly
TRX-000047,False Positive
TRX-000075,Genuine Anomaly
TRX-000085,False Positive
TRX-000087,Genuine Anomaly
TRX-000090,Genuine Anomaly
TRX-000095,False Positive
